os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 26.04 LTS,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32124684,6.18.34-tkg--wils-v2.0,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
40.5886,24.6375,16.3415,19.2005,69,67,63,1034,2800,0.48074,27,10.2415,0,0,4685,178052992
38.2405,26.1503,16.3415,19.2005,69,67,63,1034,2800,0.48074,27,10.2415,0,0,4685,204207786
37.5556,26.6272,16.3415,19.2005,69,67,63,1034,2800,0.48074,27,10.2415,0,0,4685,230834583
40.1271,24.9208,16.3415,19.2005,69,67,63,1034,2800,0.48074,27,10.2415,0,0,4685,255755788
38.0625,26.2726,16.3415,19.2005,69,67,63,1034,2800,0.48074,27,10.2415,0,0,4685,282032109
35.5118,28.1597,16.3415,19.2005,69,67,63,1034,2800,0.48074,27,10.2415,0,0,4685,310196264
42.5945,23.4772,16.3415,19.2005,69,67,63,1034,2800,0.48074,27,10.2415,0,0,4685,333671443
40.9793,24.4026,16.3415,19.2005,69,67,63,1034,2800,0.48074,27,10.2415,0,0,4685,358078726
36.9151,27.0892,16.3415,19.2005,69,67,63,1034,2800,0.48074,27,10.2415,0,0,4685,385166075
40.8552,24.4767,16.3415,19.2005,69,67,63,1034,2800,0.48074,27,10.2415,0,0,4685,409648168
35.7439,27.9768,16.3415,19.2005,69,67,63,1034,2800,0.48074,27,10.2415,0,0,4685,437624542
41.2482,24.2435,16.3415,19.2005,69,67,63,1034,2800,0.48074,27,10.2415,0,0,4685,461868289
37.1481,26.9193,16.3415,19.2005,69,67,63,1034,2800,0.48074,27,10.2415,0,0,4685,488788686
41.6692,23.9986,16.3415,19.2005,69,67,63,1034,2800,0.48074,27,10.2415,0,0,4685,512787895
37.9751,26.3331,16.3415,19.2005,69,67,63,1034,2800,0.48074,27,10.2415,0,0,4685,539124750
38.4313,26.0205,16.3415,19.2005,69,67,63,1034,2800,0.48074,27,10.2415,0,0,4685,565144401
38.4389,26.0153,16.3415,19.2005,69,67,63,1034,2800,0.48074,27,10.2415,0,0,4685,591161056
37.974,26.3338,16.3415,19.2005,69,67,63,1034,2800,0.48074,27,10.2415,0,0,4685,617496057
39.5719,25.2705,16.3415,19.2005,69,67,63,1034,2800,0.48074,27,10.2415,0,0,4685,642769802
38.6664,25.8622,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,668630796
39.5059,25.3127,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,693944175
40.1824,24.8865,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,718832689
38.7308,25.8193,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,744651494
37.0896,26.9617,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,771614350
38.3607,26.0684,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,797688814
40.1382,24.9139,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,822601703
38.8781,25.7214,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,848324358
37.6902,26.5321,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,874856960
39.4143,25.3715,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,900229850
40.5949,24.6337,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,924868346
34.5021,28.9837,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,953852445
43.9635,22.7461,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,976598720
37.5786,26.6109,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,1003213394
40.3855,24.7614,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,1027977415
37.4906,26.6733,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,1054652443
40.8703,24.4676,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,1079118225
36.4958,27.4004,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,1106520514
39.5497,25.2846,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,1131804689
38.7848,25.7833,10.5006,16.8456,69,69,63,1080,2800,0.48074,25,10.2281,0,0,4689,1157592957
38.9369,25.6826,8.0292,23.2715,69,70,62,990,2800,0.48074,14,10.2244,0,0,4665,1183272561
38.6335,25.8843,8.0292,23.2715,69,70,62,990,2800,0.48074,14,10.2244,0,0,4665,1209160185
39.0628,25.5998,8.0292,23.2715,69,70,62,990,2800,0.48074,14,10.2244,0,0,4665,1234759359
39.6614,25.2135,8.0292,23.2715,69,70,62,990,2800,0.48074,14,10.2244,0,0,4665,1259973482
37.7898,26.4622,8.0292,23.2715,69,70,62,990,2800,0.48074,14,10.2244,0,0,4665,1286436433
39.0681,25.5963,8.0292,23.2715,69,70,62,990,2800,0.48074,14,10.2244,0,0,4665,1312034114
39.5051,25.3132,8.0292,23.2715,69,70,62,990,2800,0.48074,14,10.2244,0,0,4665,1337351020
