os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 26.04 LTS,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32124692,6.18.34-tkg--wils-v2.0,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
38.9281,25.6884,2.48756,4.1643,28,44,39,800,2800,0.472408,3,4.19048,0,0,4766,515090548
38.9047,25.7038,2.48756,4.1643,28,44,39,800,2800,0.472408,3,4.19048,0,0,4766,540793118
39.6859,25.1978,2.48756,4.1643,28,44,39,800,2800,0.472408,3,4.19048,0,0,4766,565994993
38.4807,25.9871,2.48756,4.1643,28,44,39,800,2800,0.472408,3,4.19048,0,0,4766,591979729
38.6364,25.8823,2.48756,4.1643,28,44,39,800,2800,0.472408,3,4.19048,0,0,4766,617863237
39.1639,25.5337,2.48756,4.1643,28,44,39,800,2800,0.472408,3,4.19048,0,0,4766,643397363
38.5576,25.9352,2.48756,4.1643,28,44,39,800,2800,0.472408,3,4.19048,0,0,4766,669333148
38.1633,26.2032,2.48756,4.1643,28,44,39,800,2800,0.472408,3,4.19048,0,0,4766,695537474
40.9501,24.42,2.48756,4.1643,28,44,39,800,2800,0.472408,3,4.19048,0,0,4766,719957400
37.0135,27.0172,2.48756,4.1643,28,44,39,800,2800,0.472408,3,4.19048,0,0,4766,746977549
39.6228,25.238,2.48756,4.1643,28,44,39,800,2800,0.472408,3,4.19048,0,0,4766,772214871
39.6417,25.226,2.48756,4.1643,28,44,39,800,2800,0.472408,3,4.19048,0,0,4766,797441612
38.5769,25.9222,2.48756,4.1643,28,44,39,800,2800,0.472408,3,4.19048,0,0,4766,823363912
38.1165,26.2353,2.48756,4.1643,28,44,39,800,2800,0.472408,3,4.19048,0,0,4766,849599918
38.5426,25.9453,2.48756,4.1643,28,44,39,800,2800,0.472408,3,4.19048,0,0,4766,875545872
38.8658,25.7296,2.48756,4.1643,28,44,39,800,2800,0.472408,3,4.19048,0,0,4766,901280312
39.0927,25.5802,2.48756,4.1643,28,44,39,800,2800,0.472408,3,4.19048,0,0,4766,926858059
38.8337,25.7508,2.48756,4.1643,28,44,39,800,2800,0.472408,3,4.19048,0,0,4766,952609370
38.8844,25.7172,2.48756,4.1643,28,44,39,800,2800,0.472408,3,4.19048,0,0,4766,978328981
38.537,25.9491,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1004276959
37.6478,26.562,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1030850525
42.0454,23.7838,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1054627571
37.3026,26.8078,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1081436406
38.5149,25.964,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1107400654
40.792,24.5146,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1131916148
37.9359,26.3603,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1158277037
38.218,26.1657,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1184444074
39.0669,25.5971,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1210042179
38.7139,25.8305,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1235871996
38.8435,25.7443,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1261618829
39.2261,25.4932,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1287111777
38.9357,25.6833,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1312797135
39.3095,25.4392,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1338235722
36.2874,27.5578,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1365798815
38.9527,25.6722,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1391468904
35.843,27.8994,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1419369758
40.8178,24.4991,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1443869943
42.8336,23.3461,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1467216134
39.0935,25.5797,1.87735,2.9841,29,40,39,800,2620,0.472408,8,4.18824,0,0,3862,1492798510
39.3769,25.3956,2.19512,5.00195,29,40,39,800,2620,0.472408,4,4.18623,0,0,3829,1518192323
37.5652,26.6204,2.19512,5.00195,29,40,39,800,2620,0.472408,4,4.18623,0,0,3829,1544813668
38.2641,26.1342,2.19512,5.00195,29,40,39,800,2620,0.472408,4,4.18623,0,0,3829,1570947894
39.8773,25.0769,2.19512,5.00195,29,40,39,800,2620,0.472408,4,4.18623,0,0,3829,1596025558
38.4542,26.005,2.19512,5.00195,29,40,39,800,2620,0.472408,4,4.18623,0,0,3829,1622031724
37.4752,26.6843,2.19512,5.00195,29,40,39,800,2620,0.472408,4,4.18623,0,0,3829,1648720786
40.6972,24.5717,2.19512,5.00195,29,40,39,800,2620,0.472408,4,4.18623,0,0,3829,1673290571
37.1009,26.9535,2.19512,5.00195,29,40,39,800,2620,0.472408,4,4.18623,0,0,3829,1700256639
41.6233,24.025,2.19512,5.00195,29,40,39,800,2620,0.472408,4,4.18623,0,0,3829,1724274845
36.7487,27.2118,2.19512,5.00195,29,40,39,800,2620,0.472408,4,4.18623,0,0,3829,1751487344
39.7481,25.1585,2.19512,5.00195,29,40,39,800,2620,0.472408,4,4.18623,0,0,3829,1776646118
39.3424,25.4179,2.19512,5.00195,29,40,39,800,2620,0.472408,4,4.18623,0,0,3829,1802064969
39.4664,25.338,2.19512,5.00195,29,40,39,800,2620,0.472408,4,4.18623,0,0,3829,1827403369
37.5526,26.6293,2.19512,5.00195,29,40,39,800,2620,0.472408,4,4.18623,0,0,3829,1854033129
39.4501,25.3485,2.19512,5.00195,29,40,39,800,2620,0.472408,4,4.18623,0,0,3829,1879383352
