os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 26.04 LTS,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32124668,6.18.34-tkg--wils-v2.0,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
35.8677,27.8802,7.33496,19.8792,69,74,69,1904,2800,0.472095,21,13.1618,0,0,4613,231593452
38.1486,26.2133,7.33496,19.8792,69,74,69,1904,2800,0.472095,21,13.1618,0,0,4613,257808319
39.5522,25.283,7.33496,19.8792,69,74,69,1904,2800,0.472095,21,13.1618,0,0,4613,283093542
40.3435,24.7871,7.33496,19.8792,69,74,69,1904,2800,0.472095,21,13.1618,0,0,4613,307883140
36.9791,27.0423,7.33496,19.8792,69,74,69,1904,2800,0.472095,21,13.1618,0,0,4613,334925518
39.4792,25.3298,7.33496,19.8792,69,74,69,1904,2800,0.472095,21,13.1618,0,0,4613,360257078
39.264,25.4686,7.33496,19.8792,69,74,69,1904,2800,0.472095,21,13.1618,0,0,4613,385726899
38.4326,26.0196,7.33496,19.8792,69,74,69,1904,2800,0.472095,21,13.1618,0,0,4613,411747480
38.8517,25.7389,7.33496,19.8792,69,74,69,1904,2800,0.472095,21,13.1618,0,0,4613,437489164
37.1776,26.8979,7.33496,19.8792,69,74,69,1904,2800,0.472095,21,13.1618,0,0,4613,464387309
40.9318,24.4309,7.33496,19.8792,69,74,69,1904,2800,0.472095,21,13.1618,0,0,4613,488822919
37.1668,26.9058,7.33496,19.8792,69,74,69,1904,2800,0.472095,21,13.1618,0,0,4613,515727538
39.316,25.435,7.33496,19.8792,69,74,69,1904,2800,0.472095,21,13.1618,0,0,4613,541164968
38.8028,25.7714,7.33496,19.8792,69,74,69,1904,2800,0.472095,21,13.1618,0,0,4613,566938211
39.3757,25.3964,7.33496,19.8792,69,74,69,1904,2800,0.472095,21,13.1618,0,0,4613,592335616
