os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 26.04 LTS,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32124948,6.18.34-tkg--wils-v2.0,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
38.4595,26.0014,3.04878,5.6819,60,61,60,800,2800,0.480637,20,9.9092,0,0,4733,436903534
36.9961,27.0299,3.04878,5.6819,60,61,60,800,2800,0.480637,20,9.9092,0,0,4733,463933708
39.8175,25.1146,3.04878,5.6819,60,61,60,800,2800,0.480637,20,9.9092,0,0,4733,489049401
39.246,25.4803,3.04878,5.6819,60,61,60,800,2800,0.480637,20,9.9092,0,0,4733,514530088
40.1109,24.9309,3.04878,5.6819,60,61,60,800,2800,0.480637,20,9.9092,0,0,4733,539461615
39.1081,25.5701,3.04878,5.6819,60,61,60,800,2800,0.480637,20,9.9092,0,0,4733,565032441
37.5084,26.6607,3.04878,5.6819,60,61,60,800,2800,0.480637,20,9.9092,0,0,4733,591693884
38.2355,26.1537,3.04878,5.6819,60,61,60,800,2800,0.480637,20,9.9092,0,0,4733,617848165
39.4439,25.3525,3.04878,5.6819,60,61,60,800,2800,0.480637,20,9.9092,0,0,4733,643201152
39.4557,25.3449,3.04878,5.6819,60,61,60,800,2800,0.480637,20,9.9092,0,0,4733,668546766
38.1013,26.2458,3.04878,5.6819,60,61,60,800,2800,0.480637,20,9.9092,0,0,4733,694794863
38.668,25.8612,3.04878,5.6819,60,61,60,800,2800,0.480637,20,9.9092,0,0,4733,720655323
39.6546,25.2178,3.04878,5.6819,60,61,60,800,2800,0.480637,20,9.9092,0,0,4733,745873848
38.4708,25.9937,3.04878,5.6819,60,61,60,800,2800,0.480637,20,9.9092,0,0,4733,771868730
39.2896,25.452,3.04878,5.6819,60,61,60,800,2800,0.480637,20,9.9092,0,0,4733,797321114
38.3204,26.0958,3.04878,5.6819,60,61,60,800,2800,0.480637,20,9.9092,0,0,4733,823418188
38.1418,26.218,3.04878,5.6819,60,61,60,800,2800,0.480637,20,9.9092,0,0,4733,849639034
35.5628,28.1193,3.04878,5.6819,60,61,60,800,2800,0.480637,20,9.9092,0,0,4733,877757410
42.2195,23.6857,3.04878,5.6819,60,61,60,800,2800,0.480637,20,9.9092,0,0,4733,901448860
40.1403,24.9126,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,926357784
38.1168,26.2352,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,952593779
40.1945,24.879,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,977473158
38.9775,25.6558,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,1003129685
38.7363,25.8156,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,1028946583
38.0881,26.2549,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,1055201102
38.6912,25.8457,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,1081047846
40.1189,24.9259,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,1105976337
37.4017,26.7368,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,1132712129
39.4635,25.3399,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,1158052483
40.5952,24.6335,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,1182686482
35.9568,27.8112,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,1210501348
40.4814,24.7027,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,1235204266
39.0085,25.6354,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,1260839263
37.7653,26.4794,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,1287319616
40.0078,24.9951,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,1312315273
38.4265,26.0237,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,1338339299
38.4569,26.0032,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,1364342978
39.0816,25.5875,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,1389931327
37.7432,26.4949,3.16687,7.9424,60,63,59,800,2710,0.480637,8,9.90808,0,0,4762,1416428401
39.5219,25.3024,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1441730603
38.5461,25.9429,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1467678417
39.2702,25.4646,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1493140850
38.9146,25.6973,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1518839005
39.0138,25.632,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1544471698
38.0469,26.2834,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1570756293
40.366,24.7733,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1595530164
38.5548,25.9371,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1621468199
39.3088,25.4396,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1646908000
37.5659,26.6199,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1673530159
40.2841,24.8237,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1698353833
38.755,25.8031,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1724158949
37.8728,26.4042,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1750563259
40.493,24.6956,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1775259344
35.5488,28.1304,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1803389983
40.9393,24.4264,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1827818036
37.1443,26.922,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1854739797
40.8156,24.5004,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1879241297
38.2206,26.1639,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1905406067
39.1872,25.5186,3.04878,9.10385,59,60,59,800,2710,0.480637,14,9.90612,0,0,4760,1930927281
29.8423,33.5095,3.41048,8.5645,60,60,60,800,2800,0.480637,9,9.90659,0,0,4740,1964435419
55.1648,18.1275,3.41048,8.5645,60,60,60,800,2800,0.480637,9,9.90659,0,0,4740,1982563882
39.9823,25.011,3.41048,8.5645,60,60,60,800,2800,0.480637,9,9.90659,0,0,4740,2007575479
