os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 26.04 LTS,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32124680,6.18.34-tkg--wils-v2.0,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
37.4638,26.6925,4.98783,11.3026,69,64,64,1988,2800,0.479031,13,8.31119,0,0,4684,361933518
41.3009,24.2126,4.98783,11.3026,69,64,64,1988,2800,0.479031,13,8.31119,0,0,4684,386145554
37.3853,26.7485,4.98783,11.3026,69,64,64,1988,2800,0.479031,13,8.31119,0,0,4684,412895044
37.3296,26.7884,4.98783,11.3026,69,64,64,1988,2800,0.479031,13,8.31119,0,0,4684,439687454
39.9656,25.0215,4.98783,11.3026,69,64,64,1988,2800,0.479031,13,8.31119,0,0,4684,464707006
38.0028,26.3138,4.98783,11.3026,69,64,64,1988,2800,0.479031,13,8.31119,0,0,4684,491024430
40.9795,24.4025,4.98783,11.3026,69,64,64,1988,2800,0.479031,13,8.31119,0,0,4684,515425909
36.2394,27.5943,4.98783,11.3026,69,64,64,1988,2800,0.479031,13,8.31119,0,0,4684,543021518
42.0539,23.779,4.98783,11.3026,69,64,64,1988,2800,0.479031,13,8.31119,0,0,4684,566800996
37.5532,26.6289,4.98783,11.3026,69,64,64,1988,2800,0.479031,13,8.31119,0,0,4684,593430613
40.7943,24.5132,4.98783,11.3026,69,64,64,1988,2800,0.479031,13,8.31119,0,0,4684,617945664
38.147,26.2144,4.98783,11.3026,69,64,64,1988,2800,0.479031,13,8.31119,0,0,4684,644159775
39.8977,25.0641,4.98783,11.3026,69,64,64,1988,2800,0.479031,13,8.31119,0,0,4684,669226405
36.0606,27.7311,4.98783,11.3026,69,64,64,1988,2800,0.479031,13,8.31119,0,0,4684,696957136
38.8745,25.7238,4.98783,11.3026,69,64,64,1988,2800,0.479031,13,8.31119,0,0,4684,722681313
40.5612,24.6541,4.98783,11.3026,69,64,64,1988,2800,0.479031,13,8.31119,0,0,4684,747336295
38.0283,26.2962,4.98783,11.3026,69,64,64,1988,2800,0.479031,13,8.31119,0,0,4684,773632760
40.9844,24.3995,4.98783,11.3026,69,64,64,1988,2800,0.479031,13,8.31119,0,0,4684,798032957
35.8984,27.8564,4.98783,11.3026,69,64,64,1988,2800,0.479031,13,8.31119,0,0,4684,825892017
41.3546,24.1811,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,850071923
37.7121,26.5167,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,876590031
40.7032,24.5681,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,901157991
36.1522,27.6609,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,928819683
40.5204,24.6789,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,953499762
39.134,25.5532,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,979053220
40.0289,24.9819,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,1004035373
36.498,27.3988,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,1031435266
38.7506,25.8061,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,1057242178
39.5326,25.2956,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,1082538256
39.1736,25.5274,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,1108069754
38.9569,25.6694,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,1133738537
35.8667,27.8811,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,1161619949
43.9853,22.7349,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,1184355590
35.3058,28.324,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,1212680490
42.4196,23.574,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,1236255637
36.4193,27.4579,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,1263714821
42.2773,23.6533,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,1287368325
37.4483,26.7035,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,1314072731
37.2389,26.8537,4.74453,7.03,69,62,64,800,2800,0.479031,17,8.3098,0,0,4710,1340933018
40.3894,24.759,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1365687395
37.5581,26.6254,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1392315038
41.7088,23.9758,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1416290412
35.7748,27.9526,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1444243207
42.493,23.5333,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1467777348
36.8089,27.1673,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1494945579
40.852,24.4786,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1519425485
39.1332,25.5538,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1544979484
40.5887,24.6374,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1569620260
35.9957,27.7811,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1597400102
36.3605,27.5023,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1624907416
41.5757,24.0525,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1648958351
38.9747,25.6576,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1674618759
40.0807,24.9496,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1699568171
37.9763,26.3322,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1725901294
39.6133,25.2441,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1751145375
36.7042,27.2449,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1778391272
41.2992,24.2135,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1802605521
37.3094,26.8029,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1829408501
41.1167,24.321,5.09709,11.166,69,63,66,1993,2800,0.479031,19,8.31039,0,0,4688,1853732396
37.464,26.6923,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,1880425480
39.1204,25.5621,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,1905991302
39.4535,25.3463,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,1931336672
38.9844,25.6513,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,1956992762
39.1232,25.5603,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,1982550789
35.0137,28.5602,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,2011115236
41.62,24.0269,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,2035139621
35.8547,27.8903,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,2063031072
46.4901,21.5099,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,2084540876
35.7591,27.9649,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,2112507026
42.1557,23.7216,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,2136229458
36.4114,27.4639,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,2163694453
40.255,24.8417,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,2188536404
36.6573,27.2797,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,2215816694
37.9362,26.36,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,2242177850
40.0839,24.9477,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,2267126049
36.8438,27.1416,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,2294270817
42.1725,23.7121,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,2317981908
34.1006,29.325,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,2347307524
43.7929,22.8347,4.29975,5.66,69,62,64,1994,2800,0.479031,31,8.30927,0,0,4688,2370150065
35.8828,27.8685,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2398015647
46.3586,21.571,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2419586635
36.3263,27.5283,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2447118405
39.2983,25.4464,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2472563491
37.9974,26.3176,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2498882598
42.0037,23.8074,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2522690450
36.1476,27.6643,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2550360127
38.4576,26.0026,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2576363675
39.9867,25.0083,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2601373088
35.8479,27.8956,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2629270380
42.2546,23.6661,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2652935134
36.5504,27.3595,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2680295434
44.0756,22.6883,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2702985911
35.5752,28.1095,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2731094807
39.1598,25.5364,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2756633057
38.7058,25.8359,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2782469233
40.7806,24.5215,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2806996477
38.5307,25.9533,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2832948028
35.8218,27.916,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2860863314
42.5503,23.5016,5.09091,10.396,69,63,65,2017,2800,0.479031,14,8.30962,0,0,4710,2884367599
