os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 26.04 LTS,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32124676,6.18.34-tkg--wils-v2.0,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
38.4658,25.9971,3.46106,1.65425,69,45,45,1087,2800,0.464752,21,6.63343,0,0,4760,381717516
38.0715,26.2664,3.46106,1.65425,69,45,45,1087,2800,0.464752,21,6.63343,0,0,4760,407985204
39.6445,25.2242,3.46106,1.65425,69,45,45,1087,2800,0.464752,21,6.63343,0,0,4760,433209867
37.324,26.7924,3.46106,1.65425,69,45,45,1087,2800,0.464752,21,6.63343,0,0,4760,460004102
40.1963,24.8779,3.46106,1.65425,69,45,45,1087,2800,0.464752,21,6.63343,0,0,4760,484882426
38.7426,25.8114,3.46106,1.65425,69,45,45,1087,2800,0.464752,21,6.63343,0,0,4760,510693608
38.5979,25.9081,3.46106,1.65425,69,45,45,1087,2800,0.464752,21,6.63343,0,0,4760,536602604
40.0495,24.9691,3.46106,1.65425,69,45,45,1087,2800,0.464752,21,6.63343,0,0,4760,561572819
37.8908,26.3916,3.46106,1.65425,69,45,45,1087,2800,0.464752,21,6.63343,0,0,4760,587964951
38.977,25.6561,3.46106,1.65425,69,45,45,1087,2800,0.464752,21,6.63343,0,0,4760,613621764
37.4201,26.7236,3.46106,1.65425,69,45,45,1087,2800,0.464752,21,6.63343,0,0,4760,640346910
40.3501,24.7831,3.46106,1.65425,69,45,45,1087,2800,0.464752,21,6.63343,0,0,4760,665131377
39.743,25.1617,3.46106,1.65425,69,45,45,1087,2800,0.464752,21,6.63343,0,0,4760,690294044
38.1636,26.203,3.46106,1.65425,69,45,45,1087,2800,0.464752,21,6.63343,0,0,4760,716497832
38.5161,25.9631,3.46106,1.65425,69,45,45,1087,2800,0.464752,21,6.63343,0,0,4760,742462121
37.4657,26.6911,3.46106,1.65425,69,45,45,1087,2800,0.464752,21,6.63343,0,0,4760,769153654
41.4024,24.1532,3.46106,1.65425,69,45,45,1087,2800,0.464752,21,6.63343,0,0,4760,793308251
36.7549,27.2073,3.46106,1.65425,69,45,45,1087,2800,0.464752,21,6.63343,0,0,4760,820516082
40.0592,24.9631,3.46106,1.65425,69,45,45,1087,2800,0.464752,21,6.63343,0,0,4760,845482781
38.4524,26.0062,3.28867,10.0266,69,49,45,800,2800,0.464752,15,6.63404,0,0,4765,871487055
